surname,strength,surname_clean,surname_eng
बदरूउदृदीन,1,बदरूउदृदीन,Badruudridin
बदरूदीन,2,बदरूदीन,Badarudeen
बदरूदुदीन,1,बदरूदुदीन,Badarududeen
बदरूदृदीन,1,बदरूदृदीन,Badarudrideen
बदीन,1,बदीन,Badin
बदुद,2,बदुद,Badud
बदृज्ज़मा,1,बदृज्ज़मा,Badrijjama
बद्ु्दिदन,1,बद्ु्दिदन,Badudidan
बनाम,1,बनाम,Banam
बन्घु,1,बन्घु,Banghu
बन्धु,2,बन्धु,Bandhu
बबलू,3,बबलू,Babaloo
बब्लू,1,बब्लू,Babloo
बरई,23,बरई,Barai
बरतीयार,1,बरतीयार,Bartiar
बरनवाल,3,बरनवाल,Barnwal
बरनावाल,1,बरनावाल,Barnawal
बरसी,2,बरसी,Barsi
बरातन,1,बरातन,Baratan
बराती,4,बराती,Barati
बरिक,2,बरिक,Barik
बरिछ,1,बरिछ,Barich
बरैय,2,बरैय,Baraiya
बर्णवाल,1,बर्णवाल,Barnwal
बर्नवाल,1,बर्नवाल,Barnwal
बर्मा,5,बर्मा,Barma
बर्सी,1,बर्सी,Barsi
बर॑य,2,बर॑य,Barany
बलदैव,2,बलदैव,Baldave
बलभ,1,बलभ,Balabh
बला,1,बला,Bala
बलाल,4,बलाल,Balal
बल्लभ,1,बल्लभ,Ballabh
बल्स,1,बल्स,Bals
बल्‍्ला,1,बल््ला,Balla
बशर,2,बशर,Bashar
बशल,1,बशल,Bashal
बशीर,3,बशीर,Basheer
बसकारी,1,बसकारी,Baskari
बसकी,1,बसकी,Baski
बसर,2,बसर,Basar
बसाउ,1,बसाउ,Basau
बसारत,3,बसारत,Basarat
बसीर,14,बसीर,Basir
बसु,1,बसु,Basu
बहब,1,बहब,Bahab
बहादुर,5,बहादुर,Bahadur
बहादूर,1,बहादूर,Bahadur
बहाब,4,बहाब,Bahab
बहाव,4,बहाव,Bahav
बहुद,1,बहुद,Bahud
बहुदुर,1,बहुदुर,Bahudur
बाँसकारी,1,बाँसकारी,Bansakari
बांसकारी,3,बांसकारी,Banskari
बाकी,1,बाकी,Baki
बाक्स,1,बाक्स,Bax
बागम,1,बागम,Bagam
बाज,2,बाज,Baj
बादशाह,1,बादशाह,Badshah
बानी,1,बानी,Bani
बानु,1,बानु,Banu
बानों,4,बानों,Banon
बाबर,2,बाबर,Babar
बाबा,1,बाबा,Baba
बाबु,6,बाबु,Babu
बाबुलाल,3,बाबुलाल,Babulal
बाबू,3,बाबू,Baboo
बाबूल,1,बाबूल,Babool
बारिक,18,बारिक,Baric
बारिस,1,बारिस,Baris
बारी,3,बारी,Bari
बारीक,12,बारीक,Barik
बारीक्र,6,बारीक्र,Barikra
बाल,2,बाल,Bal
बालक,3,बालक,Balak
बालू,1,बालू,Baloo
बासा,1,बासा,Basa
बासुदेव,2,बासुदेव,Basudev
बास्कारी,1,बास्कारी,Baskari
बाहीद,1,बाहीद,Baheed
बिक्रम,2,बिक्रम,Bikram
बिगहा,1,बिगहा,Bigaha
बिधार्थी,1,बिधार्थी,Bidharthi
बिन्दु,1,बिन्दु,Bindu
बिरहोर,1,बिरहोर,Birhor
बिरहोरी,1,बिरहोरी,Birhori
बिरोहर,1,बिरोहर,Birohar
बिलन,1,बिलन,Bilan
बिल्‍्ला,1,बिल््ला,Billa
बिशकर्मा,2,बिशकर्मा,Bishakarma
बिशवकर्मा,2,बिशवकर्मा,Bishavakarma
बिश्वकर्म,1,बिश्वकर्म,Bishwakarm
बिश्वकर्मा,1,बिश्वकर्मा,Bishwakarma
बिहरी,4,बिहरी,Bihari
बिहार,4,बिहार,Bihar
बिहारी,42,बिहारी,Bihari
बीघा,1,बीघा,Bigha
बीबी,1,बीबी,Bb
बीस,4,बीस,Bees
बुदीन,4,बुदीन,Budin
बुधन,1,बुधन,Budhan
बुरैशी,2,बुरैशी,Buraishi
बुल,1,बुल,Bull
बेगम,10,बेगम,Begum
बेलाल,2,बेलाल,Belal
बेसरा,4,बेसरा,Besara
बैगम,6,बैगम,Baigam
बैनजीर,1,बैनजीर,Bainajeer
बैला,1,बैला,Baila
बैसरा,2,बैसरा,Baisra
बॉस,1,बॉस,Bose
बोस,3,बोस,Bose
ब्रत,1,ब्रत,Brat
ब्रिचा,1,ब्रिचा,Bricha
भंडारे,1,भंडारे,Bhandare
भईयां,1,भईयां,Bhaiyan
भगत,89,भगत,Bhagath
भगवान,1,भगवान,Bhagavan
भग्गु,1,भग्गु,Bhaggu
भट,2,भट,Bhatt
भदानी,11,भदानी,Bhadani
भरती,2,भरती,Bharati
भरद्वाज,7,भरद्वाज,Bharadwaj
भला,2,भला,Bhala
भल्‍्ला,1,भल््ला,Bhalla
भाईदुआज,1,भाईदुआज,Bhaiduaj
भान,1,भान,Bhan
भानो,1,भानो,Bhano
भारती,81,भारती,Bharati
भारतीय,3,भारतीय,Bharatiya
भारतेन्दु,1,भारतेन्दु,Bharatendu
भारद्वाज,9,भारद्वाज,Bharadwaj
भाला,1,भाला,Bhala
भास्कर,4,भास्कर,Bhaskar
भुइंया,2,भुइंया,Bhuinya
भुइयया,1,भुइयया,Bhuiyaya
भुइया,16,भुइया,Bhuiya
भुइयाँ,7,भुइयाँ,Bhuiyan
भुइयां,27,भुइयां,Bhuiyan
भुइयोँ,1,भुइयोँ,Bhuiyon
भुईया,18,भुईया,Bhuiya
भुईयाँ,6,भुईयाँ,Bhuiyan
भुईयां,10,भुईयां,Bhuiyan
भुट्टो,1,भुट्टो,Bhutto
भुठुला,1,भुठुला,Bhuthula
भुनना,2,भुनना,Bhunna
भुन्या,2,भुन्या,Bhunya
भुन्‍ना,1,भुन्ना,Bhunna
भुला,352,भुला,Bhula
भुल्ला,62,भुल्ला,Bhulla
भुल्‍्ला,4,भुल््ला,Bhulla
भुषण,5,भुषण,Bhushan
भूइयाँ,1,भूइयाँ,Bhooiyan
भूइयां,2,भूइयां,Bhooiyan
भूईयां,1,भूईयां,Bhooiyan
भून्‍नो,1,भून्नो,Bhoonno
भूल,1,भूल,Bhool
भूला,106,भूला,Bhoola
भूली,1,भूली,Bhooli
भूषण,21,भूषण,Bhushan
भैया,1,भैया,Bhaiya
भोखतार,1,भोखतार,Bhokhtar
भोदु,1,भोदु,Bhodu
मं0ाझी,1,मंाझी,Manji
मंउल,3,मंउल,Manul
मंएाझी,5,मंएाझी,Maneyajhi
मंएाझ्नी,1,मंएाझ्नी,Manejhani
मंगल,1,मंगल,Mangal
मंछाझी,7,मंछाझी,Manchajhi
मंछाझ्ञी,3,मंछाझ्ञी,Manchajhni
मंछाझ्ी,3,मंछाझ्ी,Manchhajhi
मंजर,13,मंजर,Manjar
मंज़ूर,2,मंज़ूर,Manzoor
मंजिर,1,मंजिर,Manjir
मंजी,1,मंजी,Manji
मंजीत,2,मंजीत,Manjit
मंजुर,2,मंजुर,Manjur
मंजुला,1,मंजुला,Manjula
मंजूर,2,मंजूर,Manjur
मंज्झी,2,मंज्झी,Manjjhi
मंज्ञी,9,मंज्ञी,Mangyi
मंझ,1,मंझ,Manjh
मंझी,1,मंझी,Manjhi
मंझो,4,मंझो,Manjho
मंठाझी,4,मंठाझी,Manthajhi
मंडल,1321,मंडल,Mandal
मंडला,1,मंडला,Mandala
मंणाज्ञी,6,मंणाज्ञी,Mannagyi
मंणाझी,6,मंणाझी,Mannajhi
मंणाझ्ञी,4,मंणाझ्ञी,Mannajhni
मंणाझ्ी,1,मंणाझ्ी,Mannajhi
मंणा्ञी,1,मंणा्ञी,Mannani
मंण्डल,1,मंण्डल,Manndal
मंथ,1,मंथ,Month
मंदी,1,मंदी,Mandi
मंनोर,1,मंनोर,Mannor
मंसुर,4,मंसुर,Mansur
मंसुरी,16,मंसुरी,Mansuri
मंसूर,5,मंसूर,Mansoor
मंसूरी,29,मंसूरी,Mansuri
मंाझी,2,मंाझी,Manji
मउल,1,मउल,Mul
मकबुल,8,मकबुल,Makbul
मकबूल,7,मकबूल,Makbul
मकसुद,4,मकसुद,Maksud
मकसूद,6,मकसूद,Maksud
मक़बूल,1,मक़बूल,Maqbool
मक़सूद,2,मक़सूद,Maqsood
मकुल,1,मकुल,Makul
मख्लुख,1,मख्लुख,Makhlukh
मग्सुद,1,मग्सुद,Magsud
मची,6,मची,Machi
मजनूर,1,मजनूर,Majnoor
मजहर,4,मजहर,Mazhar
मज़ीद,2,मज़ीद,Majaid
मजिद,10,मजिद,Majid
मजीज,1,मजीज,Majij
मजीद,92,मजीद,Majid
मजीव,1,मजीव,Majiva
मज्हही,1,मज्हही,Mazhahi
मझ,1,मझ,Majha
मझियान,1,मझियान,Majhian
मझी,1,मझी,Majhi
मडंल,6,मडंल,Madanl
मडल,8,मडल,Muddle
मणि,7,मणि,Mani
मणिकान्त,2,मणिकान्त,Manikant
मणीर,2,मणीर,Manir
मण्डल,15,मण्डल,Mandal
मतिन,5,मतिन,Matin
मतिना,2,मतिना,Matina
मतिम,1,मतिम,Matim
मतीन,27,मतीन,Matin
मतीम,1,मतीम,Matim
मतों,2,मतों,Maton
मतौ,1,मतौ,Matou
मत्था,1,मत्था,Mattha
मद,1,मद,Mad
मदन,2,मदन,Madan
मदहुम,1,मदहुम,Madhum
मदानी,1,मदानी,Madani
मध्या,4,मध्या,Madhya
मन,1,मन,Man
मनअवर,1,मनअवर,Manavar
मनजर,2,मनजर,Manajar
मनजाम,1,मनजाम,Manajam
मनजोस,1,मनजोस,Manajos
मनन,8,मनन,Manan
मनवर,1,मनवर,Manavar
मनसुर,2,मनसुर,Mansur
मनही,1,मनही,Manhee
मनाजिर,1,मनाजिर,Manajir
मनान,34,मनान,Manan
मनिरुद्धीन,1,मनिरुद्धीन,Maniruddhin
मनिर्दुद्धीन,1,मनिर्दुद्धीन,Manirduddhin
मनीर,8,मनीर,Manir
मनीरउदीन,1,मनीरउदीन,Manirudin
मनीरउद्दीन,1,मनीरउद्दीन,Maneeruddin
मनोज,1,मनोज,Manoj
मनौअर,1,मनौअर,Manouar
मनौर,1,मनौर,Manaur
मनौरवर,1,मनौरवर,Manouravar
मनौवर,13,मनौवर,Manouver
मन्जूर,1,मन्जूर,Manjoor
मन्झी,1,मन्झी,Manjhi
मन्दु,1,मन्दु,Mandu
मन्सुर,2,मन्सुर,Mansur
मन्सुरी,1,मन्सुरी,Mansuri
मन्सूर,1,मन्सूर,Mansoor
मन्‍ना,1,मन्ना,Manna
मन्‍नान,17,मन्नान,Mannan
मन्‍नौर,1,मन्नौर,Mannour
ममहतों,1,ममहतों,Mamhato
ममहद,1,ममहद,Mamhad
मम्मट,1,मम्मट,Mammat
मयाँ,2,मयाँ,Mayan
मरणी,1,मरणी,Marni
मरण्डी,4,मरण्डी,Marandi
मरतजाउद्दीन,1,मरतजाउद्दीन,Maratzauddin
मरन्डी,5,मरन्डी,Marandi
मरमु,2,मरमु,Marmu
मरहन,1,मरहन,Marhan
मरहम,5,मरहम,Marham
मरहुन,3,मरहुन,Marhun
मरहुम,15,मरहुम,Marhum
मरहुमहनान,1,मरहुमहनान,Marhumahanan
मरहून,1,मरहून,Marhun
मरहूम,14,मरहूम,Marhum
मरांडी,19,मरांडी,Marandi
मराडी,17,मराडी,Maradi
मराण्डी,22,मराण्डी,Marandi
मरानंदी,1,मरानंदी,Maranandi
मरान्डी,16,मरान्डी,Marandi
मरिदुगुल,1,मरिदुगुल,Maridugul
मरुई,1,मरुई,Marui
मरुहुम,2,मरुहुम,Maruhum
मल,2,मल,Mal
मलकर,6,मलकर,Malkar
मललु,1,मललु,Malalu
मलल्‍्लीक,1,मलल््लीक,Malallik
मलाकर,9,मलाकर,Malakar
मलाकार,1,मलाकार,Malakar
मलालकर,1,मलालकर,Malalkar
मलाह,1,मलाह,Malah
मलि,1,मलि,Mali
मलिक,223,मलिक,Malik
मलिक्क,1,मलिक्क,Malick
मलिम,1,मलिम,Malim
मलीक,1,मलीक,Malik
मलोइक,1,मलोइक,Maloik
मल्लाह,1,मल्लाह,Mallah
मल्लिक,25,मल्लिक,Mallik
मल्लीक,5,मल्लीक,Mallik
मल्‍्लीक,1,मल््लीक,Mallik
मसतान,1,मसतान,Mastan
मसा,1,मसा,Masa
मसाद,1,मसाद,Masad
मसित्री,1,मसित्री,Masitri
मसीम,1,मसीम,Maseem
मसुंर,1,मसुंर,Masunr
मसुरल,1,मसुरल,Masural
मसूद,3,मसूद,Masood
मसूरी,3,मसूरी,Masuri
मस्तान,1,मस्तान,Mastan
मस्ताना,1,मस्ताना,Mastana
मस्तुफा,1,मस्तुफा,Mastufa
मस्सन,1,मस्सन,Massan
महंथ,1,महंथ,Mahanth
महइतो,1,महइतो,Mahaito
महजवीन,1,महजवीन,Mahajaveen
महत,1,महत,Mahat
महततों,1,महततों,Mahataton
महता,26,महता,Mehta
महताब,4,महताब,Mahtab
महती,21,महती,Mahati
महतीएं,1,महतीएं,Mahatien
महते,1,महते,Mahate
महतो,15112,महतो,Mahato
महतों,13,महतों,Mahaton
महतोउ,1,महतोउ,Mehtou
महतोक,2,महतोक,Mahtok
महतोठि,1,महतोठि,Mahatothi
महतौ,46,महतौ,Mahtou
महतौोक,1,महतौोक,Mehtouko
महत्ती,1,महत्ती,Mahatti
महत्रो,2,महत्रो,Mahtrow
महथ,3,महथ,Mahath
महथा,235,महथा,Mahatha
महथो,1,महथो,Mahatho
महनो,1,महनो,Mahano
महन्झी,1,महन्झी,Mahanjhi
महफूज,6,महफूज,Mahafooj
महफूज़,1,महफूज़,Mahfuz
महबुब,1,महबुब,Mahabub
महबूब,5,महबूब,Mahboob
महमद,1,महमद,Mahmad
महमुद,10,महमुद,Mahmud
महमूद,15,महमूद,Mahmud
महमों,1,महमों,Mahmon
महया,3,महया,Mahaya
महरसी,1,महरसी,Mehersi
महराज,106,महराज,Mahraj
महराम,1,महराम,Mahram
महरुन,1,महरुन,Maharun
महरूम,1,महरूम,Mahrum
महल्‍्तो,1,महल््तो,Mahalto
महसुर्मिया,1,महसुर्मिया,Mahasurmiya
महाटो,1,महाटो,Mahato
महाते,2,महाते,Mahate
महातो,5,महातो,Mahato
महातों,3,महातों,Mahaton
महातौ,3,महातौ,Mahatau
महाथा,1,महाथा,Mahatha
महाराज,203,महाराज,Maharaj
महालक्ष्मी,1,महालक्ष्मी,Mahalaxmi
महुड,1,महुड,Mahud
महुथा,2,महुथा,Mahutha
महुम,1,महुम,Mahum
महूथा,18,महूथा,Mahutha
महृतौ९,2,महृतौ,Mahritou
महृत्गों,1,महृत्गों,Mahritgon
महृथा,28,महृथा,Mahritha
महेता,3,महेता,Maheta
महोत,6,महोत,Mahot
माँ,13,माँ,Maa
माँजञी,11,माँजञी,Manjani
माँजी,1,माँजी,Manji
माँज्ञी,77,माँज्ञी,Mangyi
माँझ,1,माँझ,Manjh
माँझञी,17,माँझञी,Manjhani
माँझी,926,माँझी,Manjhi
माँझ्ञी,7,माँझ्ञी,Manjhni
माँमझ्ञी,1,माँमझ्ञी,Manmajhii
माँसी,1,माँसी,Mansi
मांघी,1,मांघी,Manghi
मांजझीन,1,मांजझीन,Manjajheen
मांजञी,3,मांजञी,Manjani
मांजी,1,मांजी,Manji
मांज्ञी,1839,मांज्ञी,Mangyi
मांज्ञीएं,1,मांज्ञीएं,Mangyien
मांझ,7,मांझ,Manjh
मांझि,1,मांझि,Manjhi
मांझी,15915,मांझी,Manjhi
मांझी',1,मांझी,Manjhi
मांझीउ,1,मांझीउ,Manziu
मांझीएू,1,मांझीएू,Manzieu
मांझीठि,1,मांझीठि,Manjhithi
मांझो,1,मांझो,Manjho
मांझ्ञी,329,मांझ्ञी,Manghni
मांड्ञी,1,मांड्ञी,Mandni
मांहतों,1,मांहतों,Manhato
माईन,1,माईन,Mine
माकूल,1,माकूल,Makul
माख्तार,1,माख्तार,Makhtar
माघ,1,माघ,Magh
माघी,1,माघी,Maghi
माची,1,माची,Machi
माजझी,17,माजझी,Majajhi
माजझ्ञी,8,माजझ्ञी,Majajhni
माजिद,22,माजिद,Majid
माजिब,1,माजिब,Majib
माजी,2,माजी,Maaji
माजीद,1,माजीद,Majid
माज्ञी,59,माज्ञी,Magyi
माझञी,3,माझञी,Majhani
माझी,812,माझी,Mazhi
माझीं,1,माझीं,Majhin
माझो,1,माझो,Majho
माझ्जी,2,माझ्जी,Majhji
माझ्ञी,105,माझ्ञी,Magini
माझ्ी,6,माझ्ी,Majhi
माथा,2,माथा,Matha
माथुर,1,माथुर,Mathur
माथुरी,2,माथुरी,Mathuri
माथो,1,माथो,Matho
माथो.,1,माथो,Matho
माथौ,1,माथौ,Mathou
माधव,1,माधव,Madhav
माधवन,1,माधवन,Madhavan
माध्व,1,माध्व,Madhva
मान,1,मान,Mann
मानन,1,मानन,Manan
मानव,1,मानव,Manav
मानिक,1,मानिक,Manik
मानी,1,मानी,Mani
मार,46,मार,Mar
मारूम,1,मारूम,Marum
माला,2,माला,Mala
मालाकर,3,मालाकर,Malakar
मालाकार,278,मालाकार,Malakar
मालिक,45,मालिक,Malik
माली,224,माली,Mali
मालीक,2,मालीक,Malik
मालो,4,मालो,Malo
मालौ,1,मालौ,Malau
माल्लिक,1,माल्लिक,Mallik
मासुम,1,मासुम,Masum
मासूम,2,मासूम,Masum
मास्टर,1,मास्टर,Master
माहता,1,माहता,Mahata
माहती,3,माहती,Mahati
माहतो,100,माहतो,Mahto
माहतों,84,माहतों,Mahaton
माहतौ,61,माहतौ,Mahtou
माहिर,1,माहिर,Mahir
माहीर,2,माहीर,Mahir
माहृतो,19,माहृतो,Mahrito
माहृतों,13,माहृतों,Mahriton
माॉँझी,1,माॉँझी,Maonjhi
मिंया,150,मिंया,Minya
मिंस्त्री,4,मिंस्त्री,Minstry
मिकाइल,1,मिकाइल,Michail
मिज़ाम,1,मिज़ाम,Mizam
मिठू,1,मिठू,Mithu
मित्र,1,मित्र,Mitra
मित्रा,1,मित्रा,Mitra
मित्राजल,3,मित्राजल,Mitrajal
मित्री,26,मित्री,Mitri
मिथलेश,1,मिथलेश,Mithalesh
मिथिया,1,मिथिया,Mithiya
मिद्त्री,1,मिद्त्री,Midtri
मिनहाई,1,मिनहाई,Minhai
मिनहाज,3,मिनहाज,Minhaj
मिनहाज़,1,मिनहाज़,Minhaz
मिन्य,6,मिन्य,Minya
मिन्हाज,1,मिन्हाज,Minhaj
मिन्‍्य,2,मिन््य,Minya
मिन्‍्हाज,3,मिन््हाज,Minhaj
मिन्‍्हास,1,मिन््हास,Minhas
मिम्री,1,मिम्री,Mimri
मिय,2,मिय,Miya
मियं,1,मियं,Miyan
मियन,3,मियन,Mian
मिया,806,मिया,Miya
मियाँ,3204,मियाँ,Mian
मियाँ1,1,मियाँ,Mian
मियाँठि,1,मियाँठि,Miyanthi
मियां,1301,मियां,Miyan
मियांए,1,मियांए,Miane
मियान,2,मियान,Mian
मियाम,1,मियाम,Miyam
मियाीँ,1,मियाीँ,Miyain
मियीँ,3,मियीँ,Miyin
मियीं,1,मियीं,Miyin
मियुआ,1,मियुआ,Miyua
मिय्हन,1,मिय्हन,Miyhan
मिरयीँ,5,मिरयीँ,Miryin
मिर्ज़ा,1,मिर्ज़ा,Mirza
मिर्जा,3,मिर्जा,Mirja
मिर्धा,1,मिर्धा,Mirdha
मिर्ननी,2,मिर्ननी,Mirnani
मिर्य,1,मिर्य,Mirya
मिर्या,1,मिर्या,Mirya
मिशत्री,1,मिशत्री,Mishtri
मिशा,2,मिशा,Misha
मिश्त्री,53,मिश्त्री,Mishtri
मिश्र,60,मिश्र,Mishra
मिश्रा,175,मिश्रा,Mishra
मिश्री,26,मिश्री,Mishri
मिस,1,मिस,Mis
मिसत्री,22,मिसत्री,Mistree
मिसयान,1,मिसयान,Misyan
मिसरा,15,मिसरा,Misra
मिसरी,1,मिसरी,Misree
मिसश्री,1,मिसश्री,Misashri
मिसाल,1,मिसाल,Misal
मिसी,1,मिसी,Missy
मिसूती,1,मिसूती,Misuti
मिस्टर,8,मिस्टर,Mister
मिस्टी,2,मिस्टी,Mystey
मिस्ट्री,3,मिस्ट्री,Mystery
मिस्तरी,1,मिस्तरी,Mistari
मिस्ती,3,मिस्ती,Misti
मिस्त्र,2,मिस्त्र,Mistr
मिस्त्रार,1,मिस्त्रार,Mistrar
मिस्त्री,7199,मिस्त्री,Mistri
मिस्त्रीदू,1,मिस्त्रीदू,Mistridu
मिस्त्रौ,1,मिस्त्रौ,Mistrau
मिस्त्र८,1,मिस्त्र,Mistr
मिस्ननी,2,मिस्ननी,Misnani
मिस्नन्‍्नी,2,मिस्नन््नी,Misnanni
मिस्न्नी,1,मिस्न्नी,Misnny
मिस्न्‍नी,3,मिस्न्नी,Misnny
मिस्न्‍्नी,4,मिस्न््नी,Misnny
मिस्याँ,1,मिस्याँ,Misyan
मिस्र,2,मिस्र,Misra
मिस्रती,1,मिस्रती,Misrati
मिस्री,8,मिस्री,Misri
मिहा,1,मिहा,Miha
मि्यीं,1,मि्यीं,Miyin
मी,1,मी,Me
मीनहाजुदीन,1,मीनहाजुदीन,Meenahajudeen
मीय,1,मीय,Miya
मीयन,1,मीयन,Mian
मीया,21,मीया,Miya
मीयाँ,1,मीयाँ,Miyan
मीयां,1,मीयां,Miyan
मीयान,2,मीयान,Miyan
मीस्त्री,1,मीस्त्री,Meestry
मुंडा,2,मुंडा,Munda
मुअज्जम,1,मुअज्जम,Muazzam
मुईया,1,मुईया,Muiya
मुकीम,2,मुकीम,Mukim
मुकुल,5,मुकुल,Mukul
मुकुला,1,मुकुला,Mukula
मुकेश,1,मुकेश,Mukesh
मुक्तार,1,मुक्तार,Muktar
मुखतार,14,मुखतार,Mukhtar
मुखत्तार,1,मुखत्तार,Mukhattar
मुखलिस,1,मुखलिस,Mukhlis
मुख्तार,21,मुख्तार,Mukhtar
मुजफ्फर,1,मुजफ्फर,Mujaffar
मुजामत,1,मुजामत,Mujamat
मुजीब,2,मुजीब,Mujib
मुतर्जा,1,मुतर्जा,Mutarja
मुताज,1,मुताज,Mutaj
मुतुर्जा,3,मुतुर्जा,Muturja
मुदगल,1,मुदगल,Mudgal
मुदन,2,मुदन,Mudan
मुनअम,1,मुनअम,Munam
मुनि,2,मुनि,Muni
मुनी,5,मुनी,Muni
मुन्ना,10,मुन्ना,Munna
मुन्नान,1,मुन्नान,Munnan
मुन्नाबीस,1,मुन्नाबीस,Munnabis
मुन्शी,2,मुन्शी,Munshi
मुबारक,1,मुबारक,Mubarak
मुबीनउद्दीन,1,मुबीनउद्दीन,Mubinuddin
मुमताज,29,मुमताज,Mumtaj
मुमताज़,5,मुमताज़,Mumtaz
मुमताजुद्दीन,1,मुमताजुद्दीन,Mumatajuddin
मुमान,1,मुमान,Muman
मुम्ताज,1,मुम्ताज,Mumtaj
मुरतजजा,1,मुरतजजा,Murtazza
मुरतजा,1,मुरतजा,Murataja
मुरतर्जी,1,मुरतर्जी,Muratarji
मुरमु,14,मुरमु,Murmu
मुरमुर,3,मुरमुर,Murmur
मुरमू,1,मुरमू,Murmu
मुरसठिलम,4,मुरसठिलम,Murasathilam
मुरसिद,2,मुरसिद,Mursid
मुराद,1,मुराद,Murad
मुरारी,4,मुरारी,Murari
मुर्तजा,11,मुर्तजा,Murtaja
मुर्तीज़ा,1,मुर्तीज़ा,Murtijaa
मुर्तुँजा,1,मुर्तुँजा,Murtunja
मुर्तुज़ा,1,मुर्तुज़ा,Murtuza
मुर्तुजा,2,मुर्तुजा,Murtuza
मुर्म,3,मुर्म,Murma
मुर्मु,5,मुर्मु,Murmu
मुर्मू,6,मुर्मू,Murmu
मुर्शरफ,1,मुर्शरफ,Mursharaf
मुर्शवा,1,मुर्शवा,Murshva
मुर्स0लम,2,मुर्सलम,Mursalam
मुर्सरफ,1,मुर्सरफ,Mursaraf
मुला,79,मुला,Mula
मुल्लह,1,मुल्लह,Mullah
मुल्ला,13,मुल्ला,Mulla
मुशताक,2,मुशताक,Mushtak
मुशलिम,2,मुशलिम,Mushlim
मुशहर,1,मुशहर,Mushehr
मुशिद,1,मुशिद,Mushid
मुश्ताक,7,मुश्ताक,Mushtak
मुश्ताकआलम,1,मुश्ताकआलम,Mushtakalam
मुश्लिम,1,मुश्लिम,Mushlim
मुष्ा,1,मुष्ा,Musha
मुसठिलम,2,मुसठिलम,Musathilam
मुसतकरी,1,मुसतकरी,Musatkari
मुसतकीर,1,मुसतकीर,Musatkir
मुसतफा,1,मुसतफा,Mustafa
मुसताक,1,मुसताक,Mustaq
मुसलिम,15,मुसलिम,Muslim
मुसलीम,9,मुसलीम,Muslim
मुसहर,20,मुसहर,Musahar
मुसा,14,मुसा,Musa
मुसाफिर,1,मुसाफिर,Musafir
मुसाहैब,1,मुसाहैब,Musahaib
मुसिलम,2,मुसिलम,Musilam
मुसिल्म,1,मुसिल्म,Musilm
मुस्कान,1,मुस्कान,Muskan
मुस्किम,1,मुस्किम,Muskim
मुस्तकिम,2,मुस्तकिम,Mustaqim
मुस्तकीम,31,मुस्तकीम,Mustaqeem
मुस्तकील,1,मुस्तकील,Mustakeel
मुस्तफ,2,मुस्तफ,Mustaf
मुस्तफता,1,मुस्तफता,Mustafata
मुस्तफ़ा,15,मुस्तफ़ा,Mustafa
मुस्तफा,52,मुस्तफा,Mustafa
मुस्ताक,46,मुस्ताक,Mustaq
मुस्ताक़,3,मुस्ताक़,Mustaq
मुस्ताफ,1,मुस्ताफ,Mustaf
मुस्तिका,1,मुस्तिका,Mustika
मुस्तुफा,1,मुस्तुफा,Mustufa
मुस्फ़्त,1,मुस्फ़्त,Musft
मुस्लिम,101,मुस्लिम,Muslim
मुस्लीम,16,मुस्लीम,Muslim
मुहमद,1,मुहमद,Muhamad
मुहम्मद,14,मुहम्मद,Mohammed
मुहसिन,1,मुहसिन,Muhsin
मु्श्दी,1,मु्श्दी,Mushdi
मूंन,1,मूंन,Moon
मूरमू,1,मूरमू,Moormu
मूर्ति,2,मूर्ति,Moorthy
मूल,1,मूल,Mul
मूला,19,मूला,Mula
मूसा,8,मूसा,Moosa
मेंझी,1,मेंझी,Menjhi
मेनहाजुदीन,1,मेनहाजुदीन,Menahajudeen
मेराज,10,मेराज,Meraj
मेराजुद्दीन,1,मेराजुद्दीन,Merajuddin
मेला,1,मेला,Mela
मेहता,118,मेहता,Mehta
मेहतों,1,मेहतों,Mehton
मेहथा,2,मेहथा,Mehtha
मेहरा,1,मेहरा,Mehra
मैनान,1,मैनान,Mainan
मैराज,17,मैराज,Mairaj
मैराजउदीन,2,मैराजउदीन,Mairajudin
मैहता,19,मैहता,Maihata
मैहथा,1,मैहथा,Maihatha
मैहरा,1,मैहरा,Maihara
मैहाता,1,मैहाता,Maihata
मॉँझी,220,मॉँझी,Monjhi
मॉँझ्ञी,1,मॉँझ्ञी,Mongy
मॉज्ञी,4,मॉज्ञी,Mognie
मॉझञी,1,मॉझञी,Mojhani
मॉझी,95,मॉझी,Mozhi
मॉझीएू,1,मॉझीएू,Moziheu
मॉझ्ञी,1,मॉझ्ञी,Moghini
मॉफी,2,मॉफी,Mophi
मो,8,मो,Mo
मो.,5,मो,Mo
मोअज़्जम,1,मोअज़्जम,Moazzam
मोअज़्ज़म,3,मोअज़्ज़म,Moazzam
मोअज्जम,1,मोअज्जम,Moazzam
मोआरिफ,1,मोआरिफ,Moariff
मोआरीफ,1,मोआरीफ,Moarif
मोइउदीन,1,मोइउदीन,Moiudin
मोइज,4,मोइज,Moiz
मोइजउद्दीन,1,मोइजउद्दीन,Moizuddin
मोइज़,1,मोइज़,Moiz
मोइज़े,1,मोइज़े,Moize
मोइजुद्दीन,1,मोइजुद्दीन,Moijuddin
मोइन,8,मोइन,Moin
मोइनउदीन,2,मोइनउदीन,Moinudeen
मोइनउद्दीन,1,मोइनउद्दीन,Moinuddin
मोइम,4,मोइम,Moim
